arity,backend,calls_per_repeat,dimension,internal_nodes,max_abs_difference_to_numpy,maximum_seconds_per_tree,median_seconds_per_tree,minimum_seconds_per_tree,peak_traced_ram_bytes,peak_vram_bytes,repeats,scientific_instance_hash,status,throughput_internal_nodes_per_second
2,reference_python,30,2,1,0.0,0.00014666999923065304,0.00013353999820537866,0.00012453333280670146,36846,0,5,dac81f92569bcf4c5b67438f76ddf4a4ec253276fc34ba004859757cff28a4de,COMPLETE,7488.393091499401
2,numpy_cpu,30,2,1,0.0,0.0002597499988041818,0.00023243000032380223,0.00020332666657244165,39042,0,5,75eea041a4167c01984af988a2651dc118d03c0b0d5551c334f98407b3789f5a,COMPLETE,4302.370600210312
2,torch_cuda,30,2,1,0.0,0.0005039199992703894,0.00037257333363716804,0.00027045666744622093,36222,33608704,5,48b892ee0832d2a52a6a791d94c73eecb4d8598a13528a7d21c020b6af4e7df3,COMPLETE,2684.0353555036063
2,reference_python,30,2,2,0.0,0.0002553833338121573,0.00024519333383068445,0.00023560333453739684,45600,0,5,19171ba9998a6617252502db7bf965f4f663deeea564355ebff9c8731d880483,COMPLETE,8156.828608485245
2,numpy_cpu,30,2,2,0.0,0.0005000999992868552,0.0004784999997355044,0.00044744666665792466,50818,0,5,a37ce93bf6144be3e131ffbf78763739303e58d7b65b16c61965425b73e33a9f,COMPLETE,4179.728319969739
2,torch_cuda,30,2,2,0.0,0.000787679998514553,0.0005345433329542478,0.0005009299997861187,39720,33629696,5,4777d341440cac7a8743f20d16cf5c69399363ac27bab14137b3768936a4edfe,COMPLETE,3741.51144856049
2,reference_python,30,2,4,0.0,0.0005358100015049179,0.0005151266658989091,0.0004787266661878675,66832,0,5,202f31d58ed641611192b7e29961ae5c345ba4ef8bb9c2163a80e4b4bba8629c,COMPLETE,7765.080444864757
2,numpy_cpu,30,2,4,0.0,0.0009711366670671851,0.0008879299993471552,0.0008816133330886562,78658,0,5,289206c6e156852e3d2a424c785c5d973d12780ce8e8c8fc817c975b87eaefdb,COMPLETE,4504.859620624345
2,torch_cuda,30,2,4,0.0,0.0010424600002200653,0.0009720266660830627,0.0008081300009507685,45477,33669632,5,55b29237e44a97ab0bd44bb19c400b65ea64748d7205e20114d0a6ace5794770,COMPLETE,4115.113442431206
2,reference_python,15,2,8,0.0,0.001223746663890779,0.001124626665841788,0.001001266665601482,61696,0,5,7ec3e1d3b10583ee2ee116ff54b308b145d63ed96bf3159cf13abe49afb218ba,COMPLETE,7113.471735095277
2,numpy_cpu,15,2,8,0.0,0.002368373334563027,0.0021564599980289736,0.001988919998984784,74426,0,5,a3c7d247e944145e44af6e1727487cff3950f749a8a464a7b5886992a625622e,COMPLETE,3709.783630260743
2,torch_cuda,15,2,8,0.0,0.0023210200015455484,0.0021077200033081073,0.0020481266702214876,35308,33707008,5,983722a95df012a4ea3c767ce63039b62470e3564c058b4bb3944ce2f2730d7a,COMPLETE,3795.5705631885853
2,reference_python,15,2,12,0.0,0.0018254533332462111,0.0016923533364509543,0.0016406466679958005,88392,0,5,f0247f9ea2382ce54454536244c91716a8ac6b3ef587e021d7798ca98fbecee1,COMPLETE,7090.717843334822
2,numpy_cpu,15,2,12,0.0,0.0035637733332502344,0.003369166663226982,0.0031695133346753817,109914,0,5,dfe48320e126f2f1cee17a558482cbf0490a384d6dabb67eb9212ecc726a7dff,COMPLETE,3561.711603933069
2,torch_cuda,15,2,12,0.0,0.0033584066666662695,0.003133153333328664,0.0025344800010013084,43436,33757184,5,1a59378881ca139b819e98cc4bbea8879e53e300a636e854d96e51ccb23ba521,COMPLETE,3830.007255741675
