key,threat,claims,reason,level2
10.1109/tsp.2017.2690524,1,R9,general tensor decomposition/network,no
10.48550/arxiv.1606.05535,1,R9,general tensor decomposition/network,no
10.1137/110859063,1,R9,general tensor decomposition/network,no
10.1016/j.jat.2006.02.005,3,R1a;R1b;R6,convergence rate/error bound for products of projections,yes
10.1109/msp.2013.2297439,1,R9,general tensor decomposition/network,no
10.1016/j.laa.2020.05.023,3,R1a;R6,"angles, projections and iterations; possible rate results",yes
10.1137/22m1473790,2,R9;R10,TN integrator/contraction with projection or truncation error,no
10.22331/q-2025-05-28-1755,1,R9,tensor network method/application; no error theorem,no
10.48550/arxiv.2210.03763,1,R9,tensor network method/application; no error theorem,no
10.1103/physrevresearch.3.023236,1,R9,tensor network method/application; no error theorem,no
10.1561/2200000067,1,R9,general tensor decomposition/network,no
10.48550/arxiv.2105.13678,0,,unrelated field,no
10.1090/s0025-5718-1991-1066830-3,1,,broad numerical/operator analysis,no
10.1016/j.laa.2019.04.025,2,R6,angles between subspaces/projections,no
10.1088/0031-9155/49/2/010,0,,unrelated field,no
10.48550/arxiv.1506.05827,1,,multilinear harmonic analysis; different object,no
introductiontovectorsandtensorsvol1linearandmultilinearalgebra,1,R9,general tensor decomposition/network,no
10.1109/tsp.2015.2458785,1,R9,general tensor decomposition/network,no
10.48550/arxiv.1702.06980,1,R9,general tensor decomposition/network,no
10.1109/tgrs.2015.2503737,0,,unrelated field,no
10.1007/jhep07(2018)157,0,,unrelated field,no
10.48550/arxiv.2203.13522,1,,quantum information context; no projection-error bound,no
10.4310/atmp.2000.v4.n1.a1,0,,unrelated field,no
10.48550/arxiv.2010.12056,2,R9,dimension-tree CP with perturbation,no
10.1007/jhep01(2015)073,0,,unrelated field,no
10.48550/arxiv.1412.8690,0,,unrelated field,no
10.1137/s0895479896305696,3,R1a;R9,HOSVD; known Tucker truncation error bound,yes
10.1523/jneurosci.3481-07.2007,0,,unrelated field,no
10.1215/ijm/1336568522,2,R1a;R6,alternating/cyclic projections; no sharp rate in title,no
10.1016/j.jat.2017.08.005,3,R1a;R1b,optimal error bound for projection method,yes
10.1007/bf02551235,3,R1a;R1b;R6,convergence rate/error bound for products of projections,yes
10.1016/j.jfa.2010.05.018,3,R1a;R6,subspace angles with alternating projector error bounds,yes
10.48550/arxiv.1501.06603,2,R1a;R6,alternating/cyclic projections; no sharp rate in title,no
10.1103/prxquantum.5.020366,3,R1b;R5;R7,optimal Zeno dragging schedule; possible equal-angle extremization,yes
10.48550/arxiv.2311.01631,3,R1b;R5;R7,optimal Zeno dragging schedule; possible equal-angle extremization,yes
10.1088/1751-8113/45/45/453001,1,,quantum information context; no projection-error bound,no
10.1088/1367-2630/16/3/033014,2,R9,PEPS contraction schemes,no
10.21468/scipostphyslectnotes.86,1,R9,tensor network method/application; no error theorem,no
