key,threat_L2,access,theorem_location,claims_affected,verdict,level3
10.1016/j.jat.2014.06.002,2,FULL_TEXT,"Theorem 4.1 (||T^n-P_FixT||=c_F^n); Theorem 4.3 (shadow iterates); Sec. 5 Eqs. (39)-(40) T=cos(theta)R_theta for two lines; Sec. 7 comparison with MAP (read via arXiv:1309.4709v2, same content as JAT 185 (2014) 63-79)",none (adjacent to R1b;R5),"Exact linear rate c_F^n for Douglas-Rachford on two subspaces; its planar model T=cos(theta)R_theta is the same complex multiplier cos(theta)e^{i theta} that appears in C_k(eta), but the paper bounds convergence to an intersection, not the error of inserting projections under a defect constraint, so R1a/R1b/R2/R5/R7 are not implied (worth a citing remark only).",no
10.48550/arxiv.2608.16994,2,FULL_TEXT,"App. B Theorem 4 (transferred robust first-order bound ||Y_n-A(t_n)||<=C0 e0+C1 eta+C2 h); Proposition 1 (inclusion hypothesis); Proposition 2 (contractivity of overlap transport) (arXiv HTML)",none (adjacent to R1a;R9),"BUG time integration in canonical MPS form inherits a first-order tree-tensor-network error bound linear in a tangent-space defect eta with non-explicit, non-sharp constants depending on Lipschitz data and final time, so it shares only the defect-based projection-error flavour and implies no sharp-constant Theorem R claim.",no
onthetruncatedmultilinearsingularvaluedecomposition,2,FULL_TEXT,"Theorem 4.1 (telescoping orthogonal error expansion for an orthogonal Tucker projection); Theorem 4.2 (T-MLSVD bounds); Theorems 5.4-5.5 (ST-MLSVD error and bound) (KU Leuven report TW 589, 2011, Lirias copy)",none (adjacent to R1a;R6),"Exact Pythagorean telescoping expansion of the error of a one-node Tucker projection with mutually commuting mode projections applied to a fixed tensor; it shares the telescoping idea but involves no multilinear composition across a tree, no defect parameter and no angle-dependent constant, so R1a/R1b/R3/R6 are not implied.",no
10.1016/j.jat.2021.105648,1,FULL_TEXT,"Theorems 1.5-1.6 (recalled optimal bounds); Theorem 3.3 (exact norm ||T^k-P_M|| via product-space Friedrichs cosine); Sec. 4 estimates; Theorem 5.2 dichotomy (read via arXiv:2007.10664v3)",none (adjacent to R1b),"Exact norm value for powers of the simultaneous projection operator over countably many subspaces via a product-space Friedrichs cosine; a sharp convergence-rate identity for iterating a fixed self-adjoint averaged projection, unrelated to per-step projection insertion with a defect, so no Theorem R claim is implied.",no
10.48550/arxiv.1309.4709,2,FULL_TEXT,"Theorem 4.1; Theorem 4.3; Sec. 5 Eqs. (39)-(42) (two lines: T=cos(theta)R_theta, T^n=cos^n(theta)R_{n theta}); Sec. 6 counterexample",none (adjacent to R1b;R5),"arXiv version of the JAT Douglas-Rachford paper: sharp rate c_F^n for convergence to the intersection, with a planar operator cos(theta)R_theta that coincides with the factor in C_k(eta) but with no defect-constrained maximization, no inserted-projection error and no multilinear tree, so R1a/R1b/R2/R5/R7 are not implied.",no
10.1090/s0894-0347-02-00398-3,2,ABSTRACT_ONLY,"Abstract (via OpenAlex): new identity for the norm of a product of nonexpansive operators (XZ identity), claimed sharpest estimate for MAP and subspace-correction rates; ams.org full text returned 403 to fetch tools, statement location not verified",none (adjacent to R1b;R6),"The Xu-Zikatanov identity gives an exact expression for the norm of a product of complementary projections (hence sharp alternating-projection/subspace-correction rates) in terms of a variational stable-decomposition constant, a different quantity from the defect-constrained projection-insertion error, so it is canonical background to cite but implies none of R1a/R1b/R2/R6/R7.",no
10.1080/01630569408816580,1,ABSTRACT_ONLY,"Abstract (via OpenAlex): linear rate for Dykstra's algorithm on finitely many half-spaces; for two half-spaces the rate c is the cosine of the angle between the defining functionals and is best possible",none (adjacent to R1b),"Best-possible cosine rate for Dykstra's cyclic projections onto two half-spaces is a convergence-to-intersection result for polyhedral convex sets with no inserted-projection error, multilinear structure or defect parameter, so no Theorem R claim is implied.",no
10.1016/j.jat.2006.02.005,1,ABSTRACT_ONLY,"Metadata and search snippets only (JAT 142 (2006) 36-55; ScienceDirect 403): defines angles between convex sets generalizing the subspace Friedrichs angle and expresses cyclic-projection rates through them",none (adjacent to R1a;R6),"Angle notions for convex sets used to bound the rate of the cyclic projections algorithm; adjacent angle-based rate theory for convergence to an intersection with no projection-insertion error or sharp defect constant, so R1a/R1b/R6 are not implied.",no
10.1016/j.laa.2020.05.023,1,FULL_TEXT,"Sec. 3.1-3.3 (principal angles determine MAP convergence for linear projections in dimension 2 but not beyond); Proposition 1; Propositions 3-4 and later sections (Oppenheim angle, consistency projections) (read via arXiv:2004.07540)",none (adjacent to R1a;R6),"Shows principal angles do not by themselves classify convergence of alternating (possibly oblique) linear projections beyond the plane and studies the Oppenheim angle; there is no sharp error constant and no projection-insertion bound, so no Theorem R claim is implied.",no
10.1137/s0895479896305696,1,FULL_TEXT,"Sec. 4 Property 10 (truncation error bounded by sum of squared discarded n-mode singular values); Sec. 6 Theorem 7 (first-order perturbation of HOSVD) (read via KU Leuven Lirias copy)",none (adjacent to R1a;R9),"Classical HOSVD truncation bound for a single Tucker node by discarded mode singular values, with no composition of multilinear maps, no defect-normalized constant and no sharpness in the Theorem R sense, so it is background for tensor formats only.",no
