key,families,title,year,venue,doi
10.1109/tsp.2013.2243442,I,Low-Complexity DOA Estimation Based on Compressed MUSIC and Its Performance Analysis,2013,IEEE Transactions on Signal Processing,10.1109/tsp.2013.2243442
10.1023/a:1022631928592,I,Convergence of Bregman Projection Methods for Solving Consistent Convex Feasibility Problems in Reflexive Banach Spaces,1997,Journal of Optimization Theory and Applications,10.1023/a:1022631928592
10.1080/00207169008803865,I,On the behavior of a block-iterative projection method for solving convex feasibility problems,1990,International Journal of Computer Mathematics,10.1080/00207169008803865
10.1007/s11075-015-0085-4,I,Optimal Rates of Linear Convergence of Relaxed Alternating Projections and Generalized Douglas-Rachford Methods for Two Subspaces,2015,Numerical Algorithms,10.1007/s11075-015-0085-4
10.1214/aos/1176348251,I,Efficient Estimation of Linear Functionals of a Probability Measure $P$ with Known Marginal Distributions,1991,The Annals of Statistics,10.1214/aos/1176348251
10.1080/01630569508816635,I,Strong convergence of expected-projection methods in hilbert spaces,1995,Numerical Functional Analysis and Optimization,10.1080/01630569508816635
10.1016/0377-0427(92)00123-q,I,Strong convergence of almost simultaneous block-iterative projection methods in Hilbert spaces,1994,Journal of Computational and Applied Mathematics,10.1016/0377-0427(92)00123-q
10.1137/19m1307329,I,Low Rank Pure Quaternion Approximation for Pure Quaternion Matrices,2021,SIAM Journal on Matrix Analysis and Applications,10.1137/19m1307329
10.1007/s10589-021-00275-6,I,The circumcentered-reflection method achieves better rates than alternating projections,2021,Computational Optimization and Applications,10.1007/s10589-021-00275-6
10.1103/physrevlett.90.227902,M,Entanglement in Quantum Critical Phenomena,2003,Physical Review Letters,10.1103/physrevlett.90.227902
10.1103/physrevlett.91.147902,A;M,Efficient Classical Simulation of Slightly Entangled Quantum Computations,2003,Physical Review Letters,10.1103/physrevlett.91.147902
10.1103/physrevlett.93.227205,M,Density Matrix Renormalization Group and Periodic Boundary Conditions: A Quantum Information Perspective,2004,Physical Review Letters,10.1103/physrevlett.93.227205
10.1103/physreva.70.060302,M,Valence-bond states for quantum computation,2004,Physical Review A,10.1103/physreva.70.060302
10.1147/rd.481.0071,M,Is entanglement monogamous?,2004,IBM Journal of Research and Development,10.1147/rd.481.0071
isentanglementmonogamous,M,Is Entanglement Monogamous?,2003,CERN Document Server (European Organization for Nuclear Research),
10.1103/physreva.70.062113,M,Energy as an entanglement witness for quantum many-body systems,2004,Physical Review A,10.1103/physreva.70.062113
10.1103/physrevlett.90.157903,M,Symmetric Extensions of Quantum States and Local Hidden Variable Theories,2003,Physical Review Letters,10.1103/physrevlett.90.157903
10.1142/s021974990300036x,M,ENTANGLEMENT AND FRUSTRATION IN ORDERED SYSTEMS,2003,International Journal of Quantum Information,10.1142/s021974990300036x
10.1103/physrevlett.92.087903,M,Entanglement Frustration for Gaussian States on Symmetric Graphs,2004,Physical Review Letters,10.1103/physrevlett.92.087903
10.1080/14789940801912366,B;M,"Matrix product states, projected entangled pair states, and variational renormalization group methods for quantum spin systems",2008,Advances In Physics,10.1080/14789940801912366
10.1088/1751-8113/42/50/504005,M,Entanglement entropy and conformal field theory,2009,Journal of Physics A Mathematical and Theoretical,10.1088/1751-8113/42/50/504005
10.1088/1742-5468/2007/08/p08024,M,An area law for one-dimensional quantum systems,2007,Journal of Statistical Mechanics Theory and Experiment,10.1088/1742-5468/2007/08/p08024
10.1103/physrevb.84.165139,M,Classifying quantum phases using matrix product states and projected entangled pair states,2011,Physical Review B,10.1103/physrevb.84.165139
measurementinducedphasetransitionsinthedynamicsofentanglement,M,Measurement-Induced Phase Transitions in the Dynamics of Entanglement,2019,DSpace@MIT (Massachusetts Institute of Technology),
10.1103/physrevlett.97.050401,M,Lieb-Robinson Bounds and the Generation of Correlations and Topological Quantum Order,2006,Physical Review Letters,10.1103/physrevlett.97.050401
10.1103/physrevlett.96.220601,M,"Criticality, the Area Law, and the Computational Power of Projected Entangled Pair States",2006,Physical Review Letters,10.1103/physrevlett.96.220601
10.1088/1742-5468/2013/09/p09005,M,Area laws in a many-body localized state and its implications for topological order,2013,Journal of Statistical Mechanics Theory and Experiment,10.1088/1742-5468/2013/09/p09005
10.1103/physrevb.101.104301,M,Theory of the phase transition in random unitary circuits with measurements,2020,Physical review. B./Physical review. B,10.1103/physrevb.101.104301
10.1103/physrevb.84.235128,M,Complete classification of one-dimensional gapped quantum phases in interacting spin systems,2011,Physical Review B,10.1103/physrevb.84.235128
10.1103/physrevx.7.021021,M,Quantum Entanglement in Neural Network States,2017,Physical Review X,10.1103/physrevx.7.021021
10.1103/physrevb.98.235156,M,"Entanglement of exact excited states of Affleck-Kennedy-Lieb-Tasaki models: Exact results, many-body scars, and violation of the strong eigenstate thermalization hypothesis",2018,Physical review. B./Physical review. B,10.1103/physrevb.98.235156
10.1103/physrevb.83.245134,M,Entanglement spectrum and boundary theories with projected entangled-pair states,2011,Physical Review B,10.1103/physrevb.83.245134
10.1103/physreva.74.052101,M,Formulation of the uncertainty relations in terms of the Rényi entropies,2006,Physical Review A,10.1103/physreva.74.052101
10.1103/physrevlett.109.267203,M,Entanglement Entropy for the Long-Range Ising Chain in a Transverse Field,2012,Physical Review Letters,10.1103/physrevlett.109.267203
10.1103/physrevlett.110.100402,M,Entanglement Renormalization for Quantum Fields in Real Space,2013,Physical Review Letters,10.1103/physrevlett.110.100402
10.1103/physrevx.3.031015,M,Entanglement Growth in Quench Dynamics with Variable Range Interactions,2013,Physical Review X,10.1103/physrevx.3.031015
10.1103/physrevlett.97.150404,M,General Entanglement Scaling Laws from Time Evolution,2006,Physical Review Letters,10.1103/physrevlett.97.150404
informationtheorycodingtheoremsfordiscretememorylesssystems,K,Information Theory: Coding Theorems for Discrete Memoryless Systems,2014,REAL-EOD (Library of the Hungarian Academy of Sciences and the Information Center Oriental Collection),
10.1103/physreva.59.1070,K,Quantum nonlocality without entanglement,1999,Physical Review A,10.1103/physreva.59.1070
10.1017/cbo9781139525343,E;K,Quantum Information Theory,2013,Cambridge University Press eBooks,10.1017/cbo9781139525343
10.1098/rspa.2004.1372,K,Distillation of secret key and entanglement from quantum states,2004,Proceedings of the Royal Society A Mathematical Physical and Engineering Sciences,10.1098/rspa.2004.1372
10.1109/tit.2004.839515,K,The Private Classical Capacity and Quantum Capacity of a Quantum Channel,2005,IEEE Transactions on Information Theory,10.1109/tit.2004.839515
10.1007/s00220-014-2122-x,K,Strong Converse for the Classical Capacity of Entanglement-Breaking and Hadamard Channels via a Sandwiched Rényi Relative Entropy,2014,Communications in Mathematical Physics,10.1007/s00220-014-2122-x
