key,families,title,year,venue,doi
10.1109/tsp.2017.2690524,A;B;F;H,Tensor Decomposition for Signal Processing and Machine Learning,2017,IEEE Transactions on Signal Processing,10.1109/tsp.2017.2690524
10.48550/arxiv.1606.05535,A;F;M,Tensor Ring Decomposition,2016,arXiv (Cornell University),10.48550/arxiv.1606.05535
10.1137/110859063,B;D;F,"On Tensors, Sparsity, and Nonnegative Factorizations",2012,SIAM Journal on Matrix Analysis and Applications,10.1137/110859063
10.1016/j.jat.2006.02.005,C;E;I,The rate of convergence for the cyclic projections algorithm I: Angles between convex sets,2006,Journal of Approximation Theory,10.1016/j.jat.2006.02.005
10.1109/msp.2013.2297439,A;C,Tensor Decompositions for Signal Processing Applications: From two-way to multiway component analysis,2015,IEEE Signal Processing Magazine,10.1109/msp.2013.2297439
10.1016/j.laa.2020.05.023,C;I,"On angles, projections and iterations",2020,Linear Algebra and its Applications,10.1016/j.laa.2020.05.023
10.1137/22m1473790,A,Rank-Adaptive Time Integration of Tree Tensor Networks,2023,SIAM Journal on Numerical Analysis,10.1137/22m1473790
10.22331/q-2025-05-28-1755,A,The State Preparation of Multivariate Normal Distributions using Tree Tensor Network,2025,Quantum,10.22331/q-2025-05-28-1755
10.48550/arxiv.2210.03763,A,Ab-initio tree-tensor-network digital twin for quantum computer benchmarking in 2D,2022,arXiv (Cornell University),10.48550/arxiv.2210.03763
10.1103/physrevresearch.3.023236,A,Three-dimensional isometric tensor networks,2021,Physical Review Research,10.1103/physrevresearch.3.023236
10.1561/2200000067,A,Tensor Networks for Dimensionality Reduction and Large-Scale Optimizations Part 2 Applications and Future Perspectives,2017,Foundations and Trends® in Machine Learning,10.1561/2200000067
10.48550/arxiv.2105.13678,B,An efficient hybrid hash based privacy amplification algorithm for quantum key distribution,2021,arXiv (Cornell University),10.48550/arxiv.2105.13678
10.1090/s0025-5718-1991-1066830-3,C,Some estimates for a weighted 𝐿² projection,1991,Mathematics of Computation,10.1090/s0025-5718-1991-1066830-3
10.1016/j.laa.2019.04.025,C,Halmos' two projections theorem for Hilbert C⁎-module operators and the Friedrichs angle of two closed submodules,2019,Linear Algebra and its Applications,10.1016/j.laa.2019.04.025
10.1088/0031-9155/49/2/010,C,An alternative subspace approach to EEG dipole source localization,2004,Physics in Medicine and Biology,10.1088/0031-9155/49/2/010
10.48550/arxiv.1506.05827,D,Banach-valued multilinear singular integrals,2015,arXiv (Cornell University),10.48550/arxiv.1506.05827
introductiontovectorsandtensorsvol1linearandmultilinearalgebra,D,"Introduction to vectors and tensors, Vol 1: linear and multilinear algebra",1976,OakTrust (Texas A&M University Libraries),
10.1109/tsp.2015.2458785,D,Tensor Deflation for CANDECOMP/PARAFAC— Part I: Alternating Subspace Update Algorithm,2015,IEEE Transactions on Signal Processing,10.1109/tsp.2015.2458785
10.48550/arxiv.1702.06980,D,On Polynomial Time Methods for Exact Low Rank Tensor Completion,2017,arXiv (Cornell University),10.48550/arxiv.1702.06980
10.1109/tgrs.2015.2503737,D,Nonnegative Tensor CP Decomposition of Hyperspectral Data,2015,IEEE Transactions on Geoscience and Remote Sensing,10.1109/tgrs.2015.2503737
10.1007/jhep07(2018)157,D,Beyond a = c : gravitational couplings to matter and the stress tensor OPE,2018,Journal of High Energy Physics,10.1007/jhep07(2018)157
10.48550/arxiv.2203.13522,E,New Quantum Algorithms for Computing Quantum Entropies and Distances,2022,arXiv (Cornell University),10.48550/arxiv.2203.13522
10.4310/atmp.2000.v4.n1.a1,E,Quantum geometry of isolated horizons and black hole entropy,2000,Advances in Theoretical and Mathematical Physics,10.4310/atmp.2000.v4.n1.a1
10.48550/arxiv.2010.12056,F,Efficient parallel CP decomposition with pairwise perturbation and multi-sweep dimension tree,2020,arXiv (Cornell University),10.48550/arxiv.2010.12056
10.1007/jhep01(2015)073,G,Quantum extremal surfaces: holographic entanglement entropy beyond the classical regime,2015,Journal of High Energy Physics,10.1007/jhep01(2015)073
10.48550/arxiv.1412.8690,G,Breaking the Curse of Dimensionality with Convex Neural Networks,2014,arXiv (Cornell University),10.48550/arxiv.1412.8690
10.1137/s0895479896305696,A;H,A Multilinear Singular Value Decomposition,2000,SIAM Journal on Matrix Analysis and Applications,10.1137/s0895479896305696
10.1523/jneurosci.3481-07.2007,I,Magnocellular Projections as the Trigger of Top-Down Facilitation in Recognition,2007,Journal of Neuroscience,10.1523/jneurosci.3481-07.2007
10.1215/ijm/1336568522,I,Stochastic alternating projections,2010,Illinois Journal of Mathematics,10.1215/ijm/1336568522
10.1016/j.jat.2017.08.005,I,The optimal error bound for the method of simultaneous projections,2017,Journal of Approximation Theory,10.1016/j.jat.2017.08.005
10.1007/bf02551235,I,Error bounds for the method of alternating projections,1988,"MCSS. Mathematics of Control, Signals, and Systems",10.1007/BF02551235
10.1016/j.jfa.2010.05.018,I,Angles between infinite dimensional subspaces with applications to the Rayleigh–Ritz and alternating projectors methods,2010,Journal of Functional Analysis,10.1016/j.jfa.2010.05.018
10.48550/arxiv.1501.06603,I,"Proximal point algorithm, Douglas-Rachford algorithm and alternating projections: a case study",2015,arXiv (Cornell University),10.48550/arxiv.1501.06603
10.1103/prxquantum.5.020366,J,Optimal Zeno Dragging for Quantum Control: A Shortcut to Zeno with Action-Based Scheduling Optimization,2024,PRX Quantum,10.1103/prxquantum.5.020366
10.48550/arxiv.2311.01631,J,Optimal Zeno Dragging for Quantum Control: A Shortcut to Zeno with Action-based Scheduling Optimization,2023,arXiv (Cornell University),10.48550/arxiv.2311.01631
10.1088/1751-8113/45/45/453001,K,The information-theoretic costs of simulating quantum measurements,2012,Journal of Physics A Mathematical and Theoretical,10.1088/1751-8113/45/45/453001
10.1088/1367-2630/16/3/033014,B;L,Unifying projected entangled pair state contractions,2014,New Journal of Physics,10.1088/1367-2630/16/3/033014
10.21468/scipostphyslectnotes.86,M,An introduction to infinite projected entangled-pair state methods for variational ground state simulations using automatic differentiation,2024,SciPost Physics Lecture Notes,10.21468/scipostphyslectnotes.86
10.1109/tcs.1978.1084541,I,Generalized Image Restoration by the Method of Alternating Orthogonal Projections,1978,IEEE Transactions on Circuits and Systems,10.1109/tcs.1978.1084541
10.48550/arxiv.1604.07130,I,Worst-case Complexity of Cyclic Coordinate Descent: $O(n^2)$ Gap with Randomized Version,2016,arXiv (Cornell University),10.48550/arxiv.1604.07130
10.1137/21m1463306,I,A Deterministic Kaczmarz Algorithm for Solving Linear Systems,2023,SIAM Journal on Matrix Analysis and Applications,10.1137/21m1463306
10.1137/20m1358669,I,Infeasibility and error bound imply finite convergence of alternating projections,2020,arXiv (Cornell University),10.1137/20m1358669
