key,families,title,year,venue,doi
10.1016/j.jmaa.2014.11.044,D,Compositions and convex combinations of averaged nonexpansive operators,2014,Journal of Mathematical Analysis and Applications,10.1016/j.jmaa.2014.11.044
10.1007/s10107-015-0964-4,D,Convergence rates with inexact non-expansive operators,2015,Mathematical Programming,10.1007/s10107-015-0964-4
10.1137/17m1120099,D,Forward-Backward-Half Forward Algorithm for Solving Monotone Inclusions,2018,SIAM Journal on Optimization,10.1137/17m1120099
10.1081/nfa-120003674,D,NON-STRICTLY CONVEX MINIMIZATION OVER THE FIXED POINT SET OF AN ASYMPTOTICALLY SHRINKING NONEXPANSIVE MAPPING,2002,Numerical Functional Analysis and Optimization,10.1081/nfa-120003674
10.1016/j.jmaa.2009.07.012,D,Metric subregularity and the proximal point method,2009,Journal of Mathematical Analysis and Applications,10.1016/j.jmaa.2009.07.012
10.1073/pnas.17.7.417,D,A Canonical Form for Real Matrices under Orthogonal Transformations,1931,Proceedings of the National Academy of Sciences,10.1073/pnas.17.7.417
10.1109/tac.2018.2808442,D,Tight Global Linear Convergence Rate Bounds for Operator Splitting Methods,2018,IEEE Transactions on Automatic Control,10.1109/tac.2018.2808442
10.1007/s10957-019-01517-8,D,Douglas–Rachford Splitting for the Sum of a Lipschitz Continuous and a Strongly Monotone Operator,2019,Journal of Optimization Theory and Applications,10.1007/s10957-019-01517-8
10.1016/j.jmaa.2020.124211,D,Tight coefficients of averaged operators via scaled relative graph,2020,Journal of Mathematical Analysis and Applications,10.1016/j.jmaa.2020.124211
10.1007/978-3-319-97478-1_1,D,Large-Scale and Distributed Optimization: An Introduction,2018,Lecture notes in mathematics,10.1007/978-3-319-97478-1_1
10.1090/conm/513/10075,D,Firmly nonexpansive and Kirszbraun-Valentine extensions: a constructive approach via monotone operator theory,2010,Contemporary mathematics - American Mathematical Society,10.1090/conm/513/10075
10.1109/tac.2023.3234016,D,Graphical Nonlinear System Analysis,2023,IEEE Transactions on Automatic Control,10.1109/tac.2023.3234016
10.1016/j.ejcon.2024.101050,D,Scaled graphs for reset control system analysis,2024,European Journal of Control,10.1016/j.ejcon.2024.101050
10.1007/s10107-024-02182-0,D,Convergence of the preconditioned proximal point method and Douglas–Rachford splitting in the absence of monotonicity,2025,Mathematical Programming,10.1007/s10107-024-02182-0
10.23919/ecc65951.2025.11187068,D,Scaled Relative Graph Analysis of Lur’e Systems and the Generalized Circle Criterion,2025,,10.23919/ecc65951.2025.11187068
10.1109/cdc45484.2021.9683092,D,Scaled relative graphs for system analysis,2021,2021 60th IEEE Conference on Decision and Control (CDC),10.1109/cdc45484.2021.9683092
10.1109/tac.2025.3632433,D,A Homotopy Theorem for Incremental Stability,2025,IEEE Transactions on Automatic Control,10.1109/tac.2025.3632433
10.1016/j.ejcon.2025.101335,D,Scaled relative graphs for nonmonotone operators with applications in circuit theory,2025,European Journal of Control,10.1016/j.ejcon.2025.101335
10.1109/cdc51059.2022.9993357,D,Circuit Model Reduction with Scaled Relative Graphs,2022,2022 IEEE 61st Conference on Decision and Control (CDC),10.1109/cdc51059.2022.9993357
10.1109/tpwrs.2026.3674752,D,Stability Analysis of Power-Electronics-Dominated Grids Using Scaled Relative Graphs,2026,IEEE Transactions on Power Systems,10.1109/tpwrs.2026.3674752
10.1080/02331934.2025.2544700,D,Convergence analyses of Davis–Yin splitting via scaled relative graphs II: convex optimization problems,2025,Optimization,10.1080/02331934.2025.2544700
10.1137/24m1656530,D,Short Communication: FISTA Iterates Converge Linearly for Denoiser-Driven Regularization,2025,SIAM Journal on Imaging Sciences,10.1137/24m1656530
10.1016/j.sysconle.2022.105198,D,A rolled-off passivity theorem,2022,Systems & Control Letters,10.1016/j.sysconle.2022.105198
10.1016/j.ejcon.2026.101576,D,Scaled relative graphs for pairs of operators beyond classical monotonicity,2026,European Journal of Control,10.1016/j.ejcon.2026.101576
10.1109/lcsys.2026.3666550,D,Decomposition of Scaled Relative Graphs: A Mixed Systems Approach,2026,IEEE Control Systems Letters,10.1109/lcsys.2026.3666550
10.1109/cdc57313.2025.11312491,D,Nonlinear Bandwidth and Bode Diagrams based on Scaled Relative Graphs,2025,,10.1109/cdc57313.2025.11312491
10.33084/anterior.v23i2.5954,D,PEMAHAMAN KONSEP GEOMETRI DASAR MAHASISWA PENDIDIKAN MATEMATIKA,2024,Anterior Jurnal,10.33084/anterior.v23i2.5954
10.1109/tac.2023.3274690,D,Monotone One-Port Circuits,2023,IEEE Transactions on Automatic Control,10.1109/tac.2023.3274690
10.1145/237814.237866,K,A fast quantum mechanical algorithm for database search,1996,,10.1145/237814.237866
10.1109/sfcs.1994.365700,K,Algorithms for quantum computation: discrete logarithms and factoring,2002,,10.1109/sfcs.1994.365700
10.1007/bf02650179,K,Simulating physics with computers,1982,International Journal of Theoretical Physics,10.1007/bf02650179
10.1098/rspa.1985.0070,K,"Quantum theory, the Church–Turing principle and the universal quantum computer",1985,Proceedings of the Royal Society of London A Mathematical and Physical Sciences,10.1098/rspa.1985.0070
10.1147/rd.176.0525,K,Logical Reversibility of Computation,1973,IBM Journal of Research and Development,10.1147/rd.176.0525
10.1098/rspa.1992.0167,K,Rapid solution of problems by quantum computation,1992,Proceedings of the Royal Society of London Series A Mathematical and Physical Sciences,10.1098/rspa.1992.0167
10.1137/s0097539796300921,K,Quantum Complexity Theory,1997,SIAM Journal on Computing,10.1137/s0097539796300921
10.1137/s0097539796298637,K,On the Power of Quantum Computation,1997,SIAM Journal on Computing,10.1137/s0097539796298637
10.1145/167088.167097,K,Quantum complexity theory,1993,,10.1145/167088.167097
10.1098/rspa.1989.0099,K,Quantum computational networks,1989,Proceedings of the Royal Society of London A Mathematical and Physical Sciences,10.1098/rspa.1989.0099
tightboundsonquantumsearching,K,Tight Bounds on Quantum Searching,1996,,
10.1109/sfcs.1993.366852,K,Quantum circuit complexity,2002,,10.1109/sfcs.1993.366852
10.1016/0022-0000(88)90028-1,K,"Arthur-Merlin games: A randomized proof system, and a hierarchy of complexity classes",1988,Journal of Computer and System Sciences,10.1016/0022-0000(88)90028-1
10.1109/sfcs.1994.365701,K,On the power of quantum computation,2002,,10.1109/sfcs.1994.365701
10.1137/0210008,K,"Relative to a Random Oracle A , ${\bf P}^A \ne {\bf NP}^A \ne \text{co-}{\bf NP}^A $ with Probability 1",1981,SIAM Journal on Computing,10.1137/0210008
10.1109/sct.1992.215388,K,The quantum challenge to structural complexity theory,2003,,10.1109/sct.1992.215388
10.48550/arxiv.quant-ph/9805022,K,Phase Information in Quantum Oracle Computing,1998,arXiv (Cornell University),10.48550/arxiv.quant-ph/9805022
10.22331/q-2018-08-06-79,K,Quantum Computing in the NISQ era and beyond,2018,Quantum,10.22331/q-2018-08-06-79
10.1137/s0097539795293172,K,Polynomial-Time Algorithms for Prime Factorization and Discrete Logarithms on a Quantum Computer,1997,SIAM Journal on Computing,10.1137/s0097539795293172
10.1137/s0036144598347011,K,Polynomial-Time Algorithms for Prime Factorization and Discrete Logarithms on a Quantum Computer,1999,SIAM Review,10.1137/s0036144598347011
10.1126/science.1057726,K,A Quantum Adiabatic Evolution Algorithm Applied to Random Instances of an NP-Complete Problem,2001,Science,10.1126/science.1057726
10.1103/revmodphys.90.015002,K,Adiabatic quantum computation,2018,Reviews of Modern Physics,10.1103/revmodphys.90.015002
10.1103/physreva.67.052307,K,Quantum random-walk search algorithm,2003,Physical Review A,10.1103/physreva.67.052307
10.1103/revmodphys.74.197,K,The role of relative entropy in quantum information theory,2002,Reviews of Modern Physics,10.1103/revmodphys.74.197
10.1016/j.physrep.2022.08.003,K,The Variational Quantum Eigensolver: A review of methods and best practices,2022,Physics Reports,10.1016/j.physrep.2022.08.003
10.6028/nist.ir.8105,K,Report on Post-Quantum Cryptography,2016,,10.6028/nist.ir.8105
10.1103/physreva.70.022314,K,Spatial search by quantum walk,2004,Physical Review A,10.1103/physreva.70.022314
10.1137/s0097539705447311,K,Quantum Walk Algorithm for Element Distinctness,2007,SIAM Journal on Computing,10.1137/s0097539705447311
10.1016/j.iot.2022.100514,K,AI for next generation computing: Emerging trends and future directions,2022,Internet of Things,10.1016/j.iot.2022.100514
10.1142/s0219749903000383,K,QUANTUM WALKS AND THEIR ALGORITHMIC APPLICATIONS,2003,International Journal of Quantum Information,10.1142/s0219749903000383
10.1016/j.cosrev.2018.11.002,K,A Survey on quantum computing technology,2019,Computer Science Review,10.1016/j.cosrev.2018.11.002
10.1103/physreva.60.2746,K,Grover’s quantum searching algorithm is optimal,1999,Physical Review A,10.1103/physreva.60.2746
10.1103/physrevlett.80.4329,K,Quantum Computers Can Search Rapidly by Using Almost Any Transformation,1998,Physical Review Letters,10.1103/physrevlett.80.4329
10.1126/science.1252319,K,Defining and detecting quantum speedup,2014,Science,10.1126/science.1252319
10.48550/arxiv.quant-ph/0001106,K,Quantum Computation by Adiabatic Evolution,2000,arXiv (Cornell University),10.48550/arxiv.quant-ph/0001106
10.1109/access.2020.2968985,K,Towards Post-Quantum Blockchain: A Review on Blockchain Cryptography Resistant to Quantum Computing Attacks,2020,IEEE Access,10.1109/access.2020.2968985
10.1103/revmodphys.74.347,K,Information and computation: Classical and quantum aspects,2002,Reviews of Modern Physics,10.1103/revmodphys.74.347
10.1038/s41578-022-00434-z,K,Dynamical memristors for higher-complexity neuromorphic computing,2022,Nature Reviews Materials,10.1038/s41578-022-00434-z
10.1137/s0097539799359385,K,Fault-Tolerant Quantum Computation with Constant Error Rate,2008,SIAM Journal on Computing,10.1137/s0097539799359385
10.1098/rspa.2017.0551,K,Quantum machine learning: a classical perspective,2018,Proceedings of the Royal Society A Mathematical Physical and Engineering Sciences,10.1098/rspa.2017.0551
10.1007/978-3-642-25385-0_3,K,Random Oracles in a Quantum World,2011,Lecture notes in computer science,10.1007/978-3-642-25385-0_3
10.1103/physrevlett.79.4709,K,Quantum Computers Can Search Arbitrarily Large Databases by a Single Query,1997,Physical Review Letters,10.1103/physrevlett.79.4709
10.1038/nature10123,E;K,The thermodynamic meaning of negative entropy,2011,Nature,10.1038/nature10123
10.1145/367701.367709,K,An introduction to quantum computing for non-physicists,2000,ACM Computing Surveys,10.1145/367701.367709
10.1145/276698.276708,K,Quantum circuits with mixed states,1998,,10.1145/276698.276708
10.1103/physreva.57.2403,K,Analog analogue of a digital quantum computation,1998,Physical Review A,10.1103/physreva.57.2403
10.1103/revmodphys.82.1,K,Quantum algorithms for algebraic problems,2010,Reviews of Modern Physics,10.1103/revmodphys.82.1
10.1098/rspa.2015.0301,K,Quantum speedup of Monte Carlo methods,2015,Proceedings of the Royal Society A Mathematical Physical and Engineering Sciences,10.1098/rspa.2015.0301
10.1145/276698.276713,K,Quantum vs. classical communication and computation,1998,,10.1145/276698.276713
10.1145/1008731.1008735,K,Quantum lower bounds for the collision and the element distinctness problems,2004,Journal of the ACM,10.1145/1008731.1008735
quantummachinelearningwhatquantumcomputingmeanstodatamining,K,Quantum Machine Learning: What Quantum Computing Means to Data Mining,2014,,
10.1109/jiot.2019.2958788,K,From Pre-Quantum to Post-Quantum IoT Security: A Survey on Quantum-Resistant Cryptosystems for the Internet of Things,2019,IEEE Internet of Things Journal,10.1109/jiot.2019.2958788
10.1080/17445760500355678,K,Quantum computation and quantum information,2005,International Journal of Parallel Emergent and Distributed Systems,10.1080/17445760500355678
10.1007/bf01491891,J,Die gegenw�rtige Situation in der Quantenmechanik,1935,Die Naturwissenschaften,10.1007/bf01491891
10.1515/9783110625097-001,J,1. Foundations of quantum mechanics,2019,Vibrational Spectroscopy,10.1515/9783110625097-001
10.1016/0003-4916(71)90133-3,J,On a reinterpretation of decay experiments,1971,Annals of Physics,10.1016/0003-4916(71)90133-3
10.1216/rmj-1971-1-1-225,J,The decay-scattering system,1971,Rocky Mountain Journal of Mathematics,10.1216/rmj-1971-1-1-225
10.1007/bf01645753,J,Difficulty with a kinematic concept of unstable particles: the SZ.-Nagy extension and the Matthews-Salam-Zwanziger representation,1971,Communications in Mathematical Physics,10.1007/bf01645753
10.1512/iumj.1972.21.21080,J,,1972,Indiana University Mathematics Journal,10.1512/iumj.1972.21.21080
10.1103/physrevd.24.1516,J,Pointer basis of quantum apparatus: Into what mixture does the wave packet collapse?,1981,"Physical review. D. Particles, fields, gravitation, and cosmology/Physical review. D. Particles and fields",10.1103/physrevd.24.1516
10.1103/revmodphys.70.101,J,The quantum-jump approach to dissipative dynamics in quantum optics,1998,Reviews of Modern Physics,10.1103/revmodphys.70.101
10.1007/bf01725541,J,The emergence of classical properties through interaction with the environment,1985,The European Physical Journal B,10.1007/bf01725541
10.1364/josab.10.000524,J,Monte Carlo wave-function method in quantum optics,1993,Journal of the Optical Society of America B,10.1364/josab.10.000524
10.1103/physreva.68.042319,J,Quantum computation with optical coherent states,2003,Physical Review A,10.1103/physreva.68.042319
10.1103/revmodphys.64.339,J,Consistent interpretations of quantum mechanics,1992,Reviews of Modern Physics,10.1103/revmodphys.64.339
10.1021/ct400934c,J,"Advanced Capabilities of the PYXAID Program: Integration Schemes, Decoherence Effects, Multiexcitonic States, and Field-Matter Interaction",2014,Journal of Chemical Theory and Computation,10.1021/ct400934c
10.1103/physrevlett.74.4763,J,Interaction-Free Measurement,1995,Physical Review Letters,10.1103/physrevlett.74.4763
10.1103/revmodphys.90.031002,J,Colloquium : Quantum matter built from nanoscopic lattices of atoms and photons,2018,Reviews of Modern Physics,10.1103/revmodphys.90.031002
10.1038/35014537,J,Acceleration of quantum decay processes by frequent observations,2000,Nature,10.1038/35014537
10.1103/physrevlett.65.976,J,Quantum nondemolition measurement of small photon numbers by Rydberg-atom phase-sensitive detection,1990,Physical Review Letters,10.1103/physrevlett.65.976
10.1103/physrevlett.105.130401,J,How Small Can Thermal Machines Be? The Smallest Possible Refrigerator,2010,Physical Review Letters,10.1103/physrevlett.105.130401
10.1126/science.1155309,J,Strong Dissipation Inhibits Losses and Induces Correlations in Cold Molecular Gases,2008,Science,10.1126/science.1155309
10.1021/cr300092g,J,Ultracold Molecules under Control!,2012,Chemical Reviews,10.1021/cr300092g
10.1038/s42254-019-0056-0,J,Imaging with quantum states of light,2019,Nature Reviews Physics,10.1038/s42254-019-0056-0
10.1016/s0370-1573(00)00047-8,J,Arrival time in quantum mechanics,2000,Physics Reports,10.1016/s0370-1573(00)00047-8
10.1002/lpor.201500227,J,Nonlinear switching and solitons in PT‐symmetric photonic systems,2016,Laser & Photonics Review,10.1002/lpor.201500227
10.1038/nphys1641,J,Experimental violation of a Bell’s inequality in time with weak measurement,2010,Nature Physics,10.1038/nphys1641
10.1103/revmodphys.88.041001,J,Colloquium: Protecting quantum information against environmental noise,2016,Reviews of Modern Physics,10.1103/revmodphys.88.041001
10.1103/revmodphys.86.1203,J;K,Quantum channels and memory effects,2014,Reviews of Modern Physics,10.1103/revmodphys.86.1203
10.1103/physreva.42.10,J,Non-Hermitian quantum dynamics,1990,Physical Review A,10.1103/physreva.42.10
10.1088/2040-8978/18/12/123002,J,Nonlinear and quantum optics with whispering gallery resonators,2016,Journal of Optics,10.1088/2040-8978/18/12/123002
10.1016/s0375-9601(99)00365-5,J,Symmetrizing evolutions,1999,Physics Letters A,10.1016/s0375-9601(99)00365-5
10.1016/j.physrep.2012.07.001,J,Nonperturbative theory of weak pre- and post-selected measurements,2012,Physics Reports,10.1016/j.physrep.2012.07.001
10.1103/physrevlett.87.270405,J,Universal Dynamical Control of Quantum Mechanical Decay: Modulation of the Coupling to the Continuum,2001,Physical Review Letters,10.1103/physrevlett.87.270405
10.1098/rstb.2004.1598,J,Quantum physics in neuroscience and psychology: a neurophysical model of mind–brain interaction,2005,Philosophical Transactions of the Royal Society B Biological Sciences,10.1098/rstb.2004.1598
10.1103/physreva.47.4616,J,Meaning of the wave function,1993,Physical Review A,10.1103/physreva.47.4616
10.1007/bf02310791,A,Analysis of Individual Differences in Multidimensional Scaling Via an N-way Generalization of “Eckart-Young” Decomposition,1970,Psychometrika,10.1007/bf02310791
10.1063/1.1580111,A,Multilayer formulation of the multiconfiguration time-dependent Hartree theory,2003,The Journal of Chemical Physics,10.1063/1.1580111
10.1073/pnas.112329799,A,Numerical operator calculus in higher dimensions,2002,Proceedings of the National Academy of Sciences,10.1073/pnas.112329799
10.1137/06065577,A,Enhanced Line Search: A Novel Method to Accelerate PARAFAC,2008,SIAM Journal on Matrix Analysis and Applications,10.1137/06065577
10.1007/s00780-010-0134-8,A,Dual pricing of multi-exercise options under volume constraints,2010,Finance and Stochastics,10.1007/s00780-010-0134-8
10.1137/080719248,A,The Easy Path Wavelet Transform: A New Adaptive Wavelet Transform for Sparse Representation of Two-Dimensional Data,2009,Multiscale Modeling and Simulation,10.1137/080719248
10.1088/0266-5611/26/2/025007,A,Accelerated projected steepest descent method for nonlinear inverse problems with sparsity constraints,2010,Inverse Problems,10.1088/0266-5611/26/2/025007
10.1088/0266-5611/24/6/065013,A,A compressive Landweber iteration for solving ill-posed inverse problems,2008,Inverse Problems,10.1088/0266-5611/24/6/065013
10.1007/s10444-010-9147-2,A,Adaptive wavelet methods and sparsity reconstruction for inverse heat conduction problems,2010,Advances in Computational Mathematics,10.1007/s10444-010-9147-2
10.1007/s00365-009-9069-8,A,Optimal Order of Convergence and (In)Tractability of Multivariate Approximation of Smooth Functions,2009,Constructive Approximation,10.1007/s00365-009-9069-8
10.1016/j.jco.2009.10.002,A,Optimal approximation of elliptic problems by linear and nonlinear mappings IV: Errors in L2 and other norms,2009,Journal of Complexity,10.1016/j.jco.2009.10.002
10.1021/acs.chemrev.9b00829,A,Quantum Algorithms for Quantum Chemistry and Quantum Materials Science,2020,Chemical Reviews,10.1021/acs.chemrev.9b00829
10.1007/s11633-017-1054-2,A,Why and when can deep-but not shallow-networks avoid the curse of dimensionality: A review,2017,Machine Intelligence Research,10.1007/s11633-017-1054-2
10.1021/acs.jpca.5b03256,A,Multilayer Multiconfiguration Time-Dependent Hartree Theory,2015,The Journal of Physical Chemistry A,10.1021/acs.jpca.5b03256
10.1063/1.4871981,A,Calculating vibrational spectra with sum of product basis functions without storing full-dimensional vectors or matrices,2014,The Journal of Chemical Physics,10.1063/1.4871981
10.1016/j.euromechsol.2017.11.007,A,Two-stage data-driven homogenization for nonlinear solids using a reduced order model,2017,European Journal of Mechanics - A/Solids,10.1016/j.euromechsol.2017.11.007
10.1016/j.cpc.2019.106869,A,Parallel cross interpolation for high-precision calculation of high-dimensional integrals,2019,Computer Physics Communications,10.1016/j.cpc.2019.106869
10.1103/physrevmaterials.4.113802,A,Short-range order in face-centered cubic VCoNi alloys,2020,Physical Review Materials,10.1103/physrevmaterials.4.113802
10.2307/1968693,I,On Rings of Operators,1936,Annals of Mathematics,10.2307/1968693
10.2307/1969463,I,On Rings of Operators. Reduction Theory,1949,Annals of Mathematics,10.2307/1969463
10.1007/978-1-4612-5700-4,I,A Short Introduction to Perturbation Theory for Linear Operators,1982,,10.1007/978-1-4612-5700-4
10.24033/bsmf.90,I,Essai sur la géométrie à $n$ dimensions,1875,Bulletin de la Société mathématique de France,10.24033/bsmf.90
10.1109/proc.1983.12598,I,Finite series-expansion reconstruction methods,1983,Proceedings of the IEEE,10.1109/proc.1983.12598
settheoryandlogic,I,Set theory and logic,1963,CERN Document Server (European Organization for Nuclear Research),
10.1007/bf02564273,I,On the factorization of matrices,1955,Commentarii Mathematici Helvetici,10.1007/bf02564273
10.18311/jims/1960/16934,I,Spectral Theory in Hilbert Space,1960,Journal of the Indian Mathematical Society,10.18311/jims/1960/16934
10.1109/proc.1986.13459,I,Seismic borehole tomography—Theory and computational methods,1986,Proceedings of the IEEE,10.1109/proc.1986.13459
10.1007/978-3-0348-6253-0,I,Parametric Optimization and Approximation,1985,International series of numerical mathematics,10.1007/978-3-0348-6253-0
spectraltheoryinthehilbertspace,I,Spectral theory in the Hilbert space,1953,Medical Entomology and Zoology,
10.1137/0322010,I,New Results on the Interpolation Problem for Continuous-Time Stationary Increments Processes,1984,SIAM Journal on Control and Optimization,10.1137/0322010
10.1109/5.214546,I,The foundations of set theoretic estimation,1993,Proceedings of the IEEE,10.1109/5.214546
10.1109/icassp.1991.151014,I,The foundations of set theoretic estimation,1991,,10.1109/icassp.1991.151014
10.1007/s00041-009-9077-x,I,A Note on the Behavior of the Randomized Kaczmarz Algorithm of Strohmer and Vershynin,2009,Journal of Fourier Analysis and Applications,10.1007/s00041-009-9077-x
10.1007/s11075-017-0399-5,I,Circumcentering the Douglas–Rachford method,2017,Numerical Algorithms,10.1007/s11075-017-0399-5
10.1109/36.79426,I,Enhanced autoregressive moving average spectral estimation applied to the measurement of Doppler spectral width,1991,IEEE Transactions on Geoscience and Remote Sensing,10.1109/36.79426
10.1016/j.jat.2009.12.007,I,Functions with prescribed best linear approximations,2009,Journal of Approximation Theory,10.1016/j.jat.2009.12.007
10.1103/physrevlett.69.2863,B;M,Density matrix formulation for quantum renormalization groups,1992,Physical Review Letters,10.1103/physrevlett.69.2863
10.1103/revmodphys.47.773,M,The renormalization group: Critical phenomena and the Kondo problem,1975,Reviews of Modern Physics,10.1103/revmodphys.47.773
10.1103/physreva.40.4277,M,Quantum states with Einstein-Podolsky-Rosen correlations admitting a hidden-variable model,1989,Physical Review A,10.1103/physreva.40.4277
10.1126/science.273.5278.1073,M,Universal Quantum Simulators,1996,Science,10.1126/science.273.5278.1073
10.1007/bf02099178,M,Finitely correlated states on quantum spin chains,1992,Communications in Mathematical Physics,10.1007/bf02099178
10.1103/physrevlett.93.207204,M,Matrix Product Density Operators: Simulation of Finite-Temperature and Dissipative Systems,2004,Physical Review Letters,10.1103/physrevlett.93.207204
